group,horizon,quantile,feature,instrument_count,positive_instrument_share,instrument_sign_consistency,median_within_instrument_fold_sign_consistency
DRIVER_DIVERSE_HOLDOUT,4,0.1,feat_15m_ret_1,5,0.6,0.6,0.6
DRIVER_DIVERSE_HOLDOUT,4,0.1,feat_15m_ret_16,5,0.4,0.6,1.0
DRIVER_DIVERSE_HOLDOUT,4,0.1,feat_15m_ret_4,5,0.0,1.0,0.8
DRIVER_DIVERSE_HOLDOUT,4,0.1,feat_15m_ret_8,5,0.6,0.6,1.0
DRIVER_DIVERSE_HOLDOUT,4,0.1,feat_15m_volume_ratio_32,5,0.2,0.8,1.0
DRIVER_DIVERSE_HOLDOUT,4,0.1,feat_5m_1h_rv,5,0.0,1.0,1.0
DRIVER_DIVERSE_HOLDOUT,4,0.1,feat_5m_rv_rate_ratio_1h_4h,5,0.8,0.8,1.0
DRIVER_DIVERSE_HOLDOUT,4,0.1,feat_time_after_long_gap,5,1.0,1.0,1.0
DRIVER_DIVERSE_HOLDOUT,4,0.1,feat_time_bars_since_segment_start,5,0.0,1.0,1.0
DRIVER_DIVERSE_HOLDOUT,4,0.5,feat_15m_location_32,5,0.2,0.8,1.0
DRIVER_DIVERSE_HOLDOUT,4,0.5,feat_15m_oi_log_change_4,5,1.0,1.0,1.0
DRIVER_DIVERSE_HOLDOUT,4,0.5,feat_15m_ret_1,5,0.2,0.8,1.0
DRIVER_DIVERSE_HOLDOUT,4,0.5,feat_15m_ret_16,5,0.4,0.6,0.8
DRIVER_DIVERSE_HOLDOUT,4,0.5,feat_15m_ret_4,5,0.2,0.8,1.0
DRIVER_DIVERSE_HOLDOUT,4,0.5,feat_15m_ret_8,5,0.6,0.6,1.0
DRIVER_DIVERSE_HOLDOUT,4,0.5,feat_15m_volume_ratio_32,5,0.8,0.8,1.0
DRIVER_DIVERSE_HOLDOUT,4,0.5,feat_5m_1h_rv,5,0.4,0.6,1.0
DRIVER_DIVERSE_HOLDOUT,4,0.5,feat_5m_rv_rate_ratio_1h_4h,5,0.8,0.8,1.0
DRIVER_DIVERSE_HOLDOUT,4,0.5,feat_time_after_long_gap,5,0.2,0.8,1.0
DRIVER_DIVERSE_HOLDOUT,4,0.5,feat_time_bars_since_segment_start,5,0.8,0.8,1.0
DRIVER_DIVERSE_HOLDOUT,4,0.9,feat_15m_location_32,5,0.6,0.6,1.0
DRIVER_DIVERSE_HOLDOUT,4,0.9,feat_15m_oi_log_change_4,5,0.0,1.0,1.0
DRIVER_DIVERSE_HOLDOUT,4,0.9,feat_15m_ret_1,5,0.2,0.8,0.8
DRIVER_DIVERSE_HOLDOUT,4,0.9,feat_15m_ret_16,5,0.4,0.6,0.8
DRIVER_DIVERSE_HOLDOUT,4,0.9,feat_15m_ret_4,5,0.6,0.6,1.0
DRIVER_DIVERSE_HOLDOUT,4,0.9,feat_15m_ret_8,5,0.4,0.6,1.0
DRIVER_DIVERSE_HOLDOUT,4,0.9,feat_15m_volume_ratio_32,5,1.0,1.0,1.0
DRIVER_DIVERSE_HOLDOUT,4,0.9,feat_5m_1h_rv,5,0.4,0.6,0.6
DRIVER_DIVERSE_HOLDOUT,4,0.9,feat_5m_rv_rate_ratio_1h_4h,5,0.0,1.0,1.0
DRIVER_DIVERSE_HOLDOUT,4,0.9,feat_time_after_long_gap,5,0.0,1.0,1.0
DRIVER_DIVERSE_HOLDOUT,4,0.9,feat_time_bars_since_segment_start,5,0.8,0.8,1.0
DRIVER_DIVERSE_HOLDOUT,8,0.1,feat_15m_location_32,5,0.8,0.8,0.6
DRIVER_DIVERSE_HOLDOUT,8,0.1,feat_15m_oi_log_change_4,5,0.8,0.8,1.0
DRIVER_DIVERSE_HOLDOUT,8,0.1,feat_15m_ret_1,5,0.6,0.6,0.8
DRIVER_DIVERSE_HOLDOUT,8,0.1,feat_15m_ret_16,5,0.4,0.6,1.0
DRIVER_DIVERSE_HOLDOUT,8,0.1,feat_15m_ret_4,5,0.4,0.6,1.0
DRIVER_DIVERSE_HOLDOUT,8,0.1,feat_15m_ret_8,5,0.6,0.6,1.0
DRIVER_DIVERSE_HOLDOUT,8,0.1,feat_15m_volume_ratio_32,5,0.6,0.6,1.0
DRIVER_DIVERSE_HOLDOUT,8,0.1,feat_5m_1h_rv,5,0.2,0.8,1.0
DRIVER_DIVERSE_HOLDOUT,8,0.1,feat_5m_rv_rate_ratio_1h_4h,5,0.8,0.8,1.0
DRIVER_DIVERSE_HOLDOUT,8,0.1,feat_time_after_long_gap,5,0.6,0.6,1.0
DRIVER_DIVERSE_HOLDOUT,8,0.1,feat_time_bars_since_segment_start,5,0.2,0.8,1.0
DRIVER_DIVERSE_HOLDOUT,8,0.5,feat_15m_location_32,5,0.6,0.6,1.0
DRIVER_DIVERSE_HOLDOUT,8,0.5,feat_15m_oi_log_change_4,5,0.8,0.8,1.0
DRIVER_DIVERSE_HOLDOUT,8,0.5,feat_15m_ret_1,5,0.0,1.0,1.0
DRIVER_DIVERSE_HOLDOUT,8,0.5,feat_15m_ret_16,5,0.6,0.6,1.0
DRIVER_DIVERSE_HOLDOUT,8,0.5,feat_15m_ret_4,5,0.0,1.0,1.0
DRIVER_DIVERSE_HOLDOUT,8,0.5,feat_15m_ret_8,5,0.8,0.8,1.0
DRIVER_DIVERSE_HOLDOUT,8,0.5,feat_15m_volume_ratio_32,5,0.6,0.6,1.0
DRIVER_DIVERSE_HOLDOUT,8,0.5,feat_5m_1h_rv,5,0.2,0.8,1.0
DRIVER_DIVERSE_HOLDOUT,8,0.5,feat_5m_rv_rate_ratio_1h_4h,5,0.8,0.8,1.0
DRIVER_DIVERSE_HOLDOUT,8,0.5,feat_time_after_long_gap,5,0.4,0.6,1.0
DRIVER_DIVERSE_HOLDOUT,8,0.5,feat_time_bars_since_segment_start,5,0.6,0.6,1.0
DRIVER_DIVERSE_HOLDOUT,8,0.9,feat_15m_location_32,5,0.8,0.8,1.0
DRIVER_DIVERSE_HOLDOUT,8,0.9,feat_15m_oi_log_change_4,5,0.0,1.0,1.0
DRIVER_DIVERSE_HOLDOUT,8,0.9,feat_15m_ret_1,5,0.2,0.8,0.8
DRIVER_DIVERSE_HOLDOUT,8,0.9,feat_15m_ret_16,5,0.4,0.6,1.0
DRIVER_DIVERSE_HOLDOUT,8,0.9,feat_15m_ret_4,5,0.6,0.6,1.0
DRIVER_DIVERSE_HOLDOUT,8,0.9,feat_15m_ret_8,5,0.4,0.6,1.0
DRIVER_DIVERSE_HOLDOUT,8,0.9,feat_15m_volume_ratio_32,5,1.0,1.0,1.0
DRIVER_DIVERSE_HOLDOUT,8,0.9,feat_5m_1h_rv,5,0.4,0.6,1.0
DRIVER_DIVERSE_HOLDOUT,8,0.9,feat_5m_rv_rate_ratio_1h_4h,5,0.4,0.6,0.8
DRIVER_DIVERSE_HOLDOUT,8,0.9,feat_time_after_long_gap,5,0.4,0.6,1.0
DRIVER_DIVERSE_HOLDOUT,8,0.9,feat_time_bars_since_segment_start,5,0.8,0.8,1.0
DRIVER_DIVERSE_HOLDOUT,16,0.1,feat_15m_location_32,5,0.4,0.6,1.0
DRIVER_DIVERSE_HOLDOUT,16,0.1,feat_15m_oi_log_change_4,5,0.8,0.8,1.0
DRIVER_DIVERSE_HOLDOUT,16,0.1,feat_15m_ret_1,5,0.4,0.6,1.0
DRIVER_DIVERSE_HOLDOUT,16,0.1,feat_15m_ret_16,5,0.4,0.6,1.0
DRIVER_DIVERSE_HOLDOUT,16,0.1,feat_15m_ret_4,5,0.4,0.6,0.8
DRIVER_DIVERSE_HOLDOUT,16,0.1,feat_15m_ret_8,5,0.4,0.6,1.0
DRIVER_DIVERSE_HOLDOUT,16,0.1,feat_15m_volume_ratio_32,5,0.4,0.6,1.0
DRIVER_DIVERSE_HOLDOUT,16,0.1,feat_5m_1h_rv,5,0.0,1.0,1.0
DRIVER_DIVERSE_HOLDOUT,16,0.1,feat_5m_rv_rate_ratio_1h_4h,5,0.6,0.6,1.0
DRIVER_DIVERSE_HOLDOUT,16,0.1,feat_time_after_long_gap,5,0.4,0.6,0.8
DRIVER_DIVERSE_HOLDOUT,16,0.1,feat_time_bars_since_segment_start,5,0.4,0.6,0.8
DRIVER_DIVERSE_HOLDOUT,16,0.5,feat_15m_location_32,5,0.6,0.6,1.0
DRIVER_DIVERSE_HOLDOUT,16,0.5,feat_15m_oi_log_change_4,5,0.8,0.8,1.0
DRIVER_DIVERSE_HOLDOUT,16,0.5,feat_15m_ret_1,5,0.0,1.0,0.8
DRIVER_DIVERSE_HOLDOUT,16,0.5,feat_15m_ret_16,5,0.4,0.6,1.0
DRIVER_DIVERSE_HOLDOUT,16,0.5,feat_15m_ret_4,5,0.4,0.6,1.0
DRIVER_DIVERSE_HOLDOUT,16,0.5,feat_15m_ret_8,5,0.6,0.6,1.0
DRIVER_DIVERSE_HOLDOUT,16,0.5,feat_15m_volume_ratio_32,5,0.4,0.6,1.0
DRIVER_DIVERSE_HOLDOUT,16,0.5,feat_5m_1h_rv,5,0.2,0.8,1.0
DRIVER_DIVERSE_HOLDOUT,16,0.5,feat_5m_rv_rate_ratio_1h_4h,5,0.6,0.6,1.0
DRIVER_DIVERSE_HOLDOUT,16,0.5,feat_time_after_long_gap,5,0.6,0.6,1.0
DRIVER_DIVERSE_HOLDOUT,16,0.5,feat_time_bars_since_segment_start,5,0.6,0.6,0.6
DRIVER_DIVERSE_HOLDOUT,16,0.9,feat_15m_location_32,5,0.6,0.6,0.8
DRIVER_DIVERSE_HOLDOUT,16,0.9,feat_15m_oi_log_change_4,5,0.2,0.8,1.0
DRIVER_DIVERSE_HOLDOUT,16,0.9,feat_15m_ret_1,5,0.4,0.6,0.6
DRIVER_DIVERSE_HOLDOUT,16,0.9,feat_15m_ret_16,5,0.4,0.6,1.0
DRIVER_DIVERSE_HOLDOUT,16,0.9,feat_15m_ret_4,5,0.4,0.6,0.8
DRIVER_DIVERSE_HOLDOUT,16,0.9,feat_15m_ret_8,5,0.2,0.8,1.0
DRIVER_DIVERSE_HOLDOUT,16,0.9,feat_15m_volume_ratio_32,5,0.4,0.6,1.0
DRIVER_DIVERSE_HOLDOUT,16,0.9,feat_5m_1h_rv,5,0.2,0.8,1.0
DRIVER_DIVERSE_HOLDOUT,16,0.9,feat_5m_rv_rate_ratio_1h_4h,5,0.4,0.6,1.0
DRIVER_DIVERSE_HOLDOUT,16,0.9,feat_time_after_long_gap,5,0.8,0.8,1.0
DRIVER_DIVERSE_HOLDOUT,16,0.9,feat_time_bars_since_segment_start,5,0.4,0.6,1.0
